t,o,h,l,c,v
1724737500,347679.98167507,347916.67000000,347679.98167507,347916.67000000,0.00139159
1724737920,347805.23129034,347805.23129034,347805.23129034,347805.23129034,0.00000337
1724738220,347562.29262793,347562.29262793,347562.29262793,347562.29262793,0.00002819
1724738340,347904.14916545,348088.49914988,347904.14916545,348088.49914988,0.00142074
1724738400,347930.95461272,347930.95461272,347930.95461272,347930.95461272,0.02880000
1724738460,347533.64408066,347533.64408066,347533.64408066,347533.64408066,0.00006627
1724738520,347550.29586331,347550.29586331,347537.17796235,347537.17796235,0.03036573
1724738940,347466.12495893,347466.12495893,347466.12495893,347466.12495893,0.00287465
1724739360,347433.23867535,347433.23867535,347433.23867535,347433.23867535,0.00000316
1724739600,347229.01690779,347229.01690779,347229.01690779,347229.01690779,0.00014399
1724739660,347207.83127890,347207.83127890,347207.83127890,347207.83127890,0.00002794
1724739840,347123.95413124,347123.95413124,347123.95413124,347123.95413124,0.00004886
1724740020,347000.00000000,347000.00000000,347000.00000000,347000.00000000,0.00030000
1724740440,346449.48000000,346449.48000000,346319.96000000,346319.96000000,0.00006666
1724740500,346282.77000000,346282.77000000,345771.20000000,345771.20000000,0.01651114
1724740620,346041.53260067,346237.08989998,346041.53260067,346237.08989998,0.00577655
1724740740,346005.13194591,346005.13194591,346005.13194591,346005.13194591,0.00000911
1724740800,345986.58052758,345986.58052758,345986.58052758,345986.58052758,0.00289028
1724740860,345907.75733634,345907.75733634,345907.75733634,345907.75733634,0.00000280
1724740980,345600.00000000,345600.00000001,345600.00000000,345600.00000001,0.00001017
1724741160,345600.00000000,345600.00000000,345600.00000000,345600.00000000,0.00000309
1724741880,345770.61939957,345770.61939957,345770.61939957,345770.61939957,0.00085296
1724742000,345644.29075791,345700.46417035,345644.29075791,345700.46417035,0.00000859
1724742480,345915.54276790,345915.54276790,345915.54276790,345915.54276790,0.00006022
1724742540,345955.26371058,345955.26371058,345955.26371058,345955.26371058,0.00038246
1724743260,346036.84954411,346036.84954411,346036.84954411,346036.84954411,0.00008808
1724743860,346310.85941053,346310.85941053,346310.85941053,346310.85941053,0.00007244
1724743980,346222.65755218,346224.32011737,346222.65755218,346224.32011737,0.00059127
1724744100,346596.89514684,346596.89514684,346596.89514684,346596.89514684,0.00002099
1724744220,346691.73897058,346691.73897058,346691.73897058,346691.73897058,0.00005596
1724744280,346467.10136686,346467.10136686,346467.10136686,346467.10136686,0.00000282
1724744340,346448.02838665,346448.02838665,346448.02838665,346448.02838665,0.00000291
1724744400,346410.53529458,346410.53529458,346410.53529458,346410.53529458,0.00031032
1724744520,346091.44493360,346091.44493360,346091.44493360,346091.44493360,0.00006856
1724744640,345792.75020791,345792.75020791,345792.75020791,345792.75020791,0.00001402
1724744700,345848.89311014,345848.89311014,345848.89311014,345848.89311014,0.00000560
1724744760,345917.93339963,345917.93339963,345917.93339963,345917.93339963,0.00000841
1724745120,345879.81193414,345879.81193414,345879.81193414,345879.81193414,0.00000841
1724745300,346006.93808289,346006.93808289,346006.93808289,346006.93808289,0.01446000
1724745420,346006.93808289,346055.88531467,346006.93808289,346055.88531467,0.01446000
1724745720,346293.57530816,346293.57530816,346293.57530816,346293.57530816,0.00002801
1724745840,346465.91916700,346465.91916700,346465.91916700,346465.91916700,0.00578000
1724745900,346445.15074752,346445.15074752,346445.15074752,346445.15074752,0.00289000
1724746140,346090.04363817,346090.04363817,346090.04363817,346090.04363817,0.00001456
1724746200,346004.55629121,346004.55629121,346004.55629121,346004.55629121,0.00001326
1724746260,345998.07014138,345998.07014138,345998.07014138,345998.07014138,0.00001639
1724746320,345903.03832321,345903.03832321,345869.81314020,345869.81314020,0.00023982
1724746380,345740.85894787,345740.85894787,345740.85894787,345740.85894787,0.00002233
1724746440,345635.32601359,346046.00000000,345635.32601359,345705.89746875,0.00061829
1724746500,345708.46795299,345708.46795299,345708.46795299,345708.46795299,0.00001128
1724746560,345708.46795299,345708.46795299,345644.64595895,345644.64595895,0.00012699
1724746620,345600.00000001,345600.00000001,345600.00000000,345600.00000001,0.00122500
1724746680,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00001319
1724746740,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00001096
1724746800,345600.00000001,345683.05852807,345600.00000001,345683.05852807,0.00003873
1724746920,345600.00000002,345600.00000002,345600.00000002,345600.00000002,0.00002154
1724746980,345644.07939598,345653.38128109,345644.07939598,345653.38128109,0.00002962
1724747040,345606.19570449,345606.19570449,345606.19570449,345606.19570449,0.00002182
1724747100,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00002014
1724747160,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00002880
1724747220,345600.00000000,345600.00000001,345600.00000000,345600.00000001,0.00294741
1724747280,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00001184
1724747340,345600.00000000,345600.00000001,345600.00000000,345600.00000001,0.09836205
1724747400,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00000865
1724747460,345600.00000000,345600.00000000,345600.00000000,345600.00000000,1.41550890
1724747520,345602.65464989,345602.65464989,345602.65464989,345602.65464989,0.01880000
1724747580,345731.60039060,345731.60039060,345727.39146428,345727.39146428,0.00869870
1724747880,345600.00000000,345600.00000000,345600.00000000,345600.00000000,0.00107700
1724748060,345703.72107425,345705.54380766,345703.72107425,345705.54380766,0.04652492
1724748120,345610.52330079,345610.52330079,345600.00000002,345600.00000002,0.00012693
1724748240,345711.49976718,345711.49976718,345711.49976712,345711.49976712,0.00287867
1724748600,345992.43383371,345992.43383371,345983.70165963,345983.70165963,0.00278892
1724748780,345789.30718557,345789.30718557,345789.30718557,345789.30718557,0.00012882
1724748840,345603.33000000,345603.33000000,345603.33000000,345603.33000000,0.00000323
1724748900,345958.92347740,345958.92347740,345958.92347740,345958.92347740,0.00001988
1724748960,345960.32586881,345960.32586881,345958.92347740,345958.92347740,0.00029816
1724749140,345996.59240165,345996.59240165,345996.59240165,345996.59240165,0.00003742
1724749200,345993.28939790,345993.28939790,345905.81414437,345905.81414437,0.00003659
1724749260,345829.72742118,345829.72742118,345829.72742118,345829.72742118,0.00005724
1724749440,345869.75368590,345869.75368590,345869.75368590,345869.75368590,0.00002862
1724749680,346244.85611898,346244.85611898,346131.46237276,346131.46237276,0.00002358
1724749740,346375.24999996,346375.24999996,345960.99474337,345960.99474337,0.00019324
1724749800,345959.45455434,345959.45455434,345959.45455434,345959.45455434,0.00001402
1724749860,345959.53580457,345959.53580457,345959.53580457,345959.53580457,0.00021811
1724750040,346367.83138538,346367.83138538,346367.83138538,346367.83138538,0.00025965
1724750160,346493.27697816,346506.41785936,346493.27697816,346506.41785936,0.00000573
1724750220,346649.45912226,346814.99999999,346649.45912226,346814.99999999,0.00000837
1724750280,346532.90269023,346556.45253262,346532.00767791,346556.45253262,0.00001248
1724750400,346553.15240380,346553.15240380,346553.15240380,346553.15240380,0.00000555
1724750460,346553.15240380,346553.15240380,346553.15240380,346553.15240380,0.00019720
1724750580,346477.57612440,346477.57612440,346477.57612440,346477.57612440,0.00001056
1724750760,346374.93238858,346374.93238858,346374.93238857,346374.93238857,0.04711162
1724750820,346505.05450665,346505.05450665,346505.05450665,346505.05450665,0.00710736
1724750880,346554.13128000,346554.13128000,346554.13127999,346554.13127999,0.00630378
1724751000,346426.70015893,346426.70015893,346426.70015893,346426.70015893,0.00002851
1724751120,346378.20301292,346378.20301292,346378.20301292,346378.20301292,0.02920000
1724751240,346616.43344475,346616.43344475,346616.43344475,346616.43344475,0.00022656
1724751300,346473.67629910,346473.67629910,346450.93875156,346450.93875156,0.00021625
1724751360,346374.93238858,346374.93238858,346179.59185249,346179.59185249,0.00313094
1724751420,346117.98479975,346117.98479975,346117.98479975,346117.98479975,0.00014014
1724751540,345935.32451169,345935.32451169,345935.32451169,345935.32451169,0.00002804
1724751600,345753.50635508,345753.50635508,345753.50635508,345753.50635508,0.00093339
1724751660,345600.00000001,345600.00000001,345600.00000001,345600.00000001,0.00143097
1724751780,345600.00000000,345600.00000000,345010.99000000,345010.99000000,0.15564881
1724751840,345010.99000000,345255.11180404,345010.00000000,345255.11180404,0.00783208
1724751900,345575.30592604,345575.30592604,345575.30592604,345575.30592604,0.00000975
1724751960,345570.25200215,345570.25200215,345441.31046727,345441.31046727,0.00209052
1724752140,345255.11000001,345255.11000001,345255.11000000,345255.11000000,0.00049912
1724752200,345255.11000001,345255.11000001,345255.11000001,345255.11000001,0.00002809
1724752260,345255.11000001,345255.11000001,345255.11000001,345255.11000001,0.00011539
1724752380,345257.16490064,345470.42681633,345257.16490064,345470.42681633,0.00007303
1724752440,345255.11000000,345255.11000000,345255.11000000,345255.11000000,0.00000690
1724752560,345519.93309956,345519.93309956,345508.58999540,345508.58999540,0.00081690
1724752620,345510.96609079,345531.23021686,345510.96609079,345531.23021686,0.02606009
1724752740,345527.33389038,345527.33389038,345525.27588818,345525.27588818,0.00186798
1724752800,345519.69023669,345519.69023669,345375.96448107,345375.96448107,0.02998682
1724752860,345358.25497450,345358.25497450,345358.25497450,345358.25497450,0.00600000
1724752920,345255.11000000,345255.11000000,345255.11000000,345255.11000000,0.00079210
1724752980,345255.11000001,345255.11000001,345255.11000000,345255.11000000,0.00052569
1724753040,345255.11000000,345255.11000000,345255.11000000,345255.11000000,0.00505027
1724753100,345255.11000000,345255.11000001,345255.11000000,345255.11000001,0.00087230
1724753160,345255.11000000,345255.11000000,344900.00000000,344900.00000000,0.10981462
1724753220,344900.00000000,344900.00000000,344717.05542224,344717.05542224,0.09068925
1724753280,344718.76754698,344718.76754698,344718.76754697,344718.76754697,0.02660000
1724753340,344930.39000000,344930.39000000,344450.00000000,344450.00000000,0.00047394
1724753400,344663.73259909,344663.73259909,344200.00000000,344200.00000000,0.04285804
1724753460,344434.99999999,344434.99999999,344434.99999999,344434.99999999,0.00008709
1724753520,344311.51149011,344311.51149011,344311.51149011,344311.51149011,0.00000281
1724753640,344515.32871384,344515.32871384,344515.32871384,344515.32871384,0.00000476
1724753700,344444.69948967,344444.69948967,344444.69948967,344444.69948967,0.00002507
1724753760,344227.42031705,344227.42031705,344017.05041172,344110.17231790,0.01302432
1724753820,344017.04999999,344017.05000000,344017.04999999,344017.05000000,0.00675879
1724753880,344010.99000001,344010.99000001,344010.01000000,344010.01000000,0.07452906
1724753940,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.00058745
1724754000,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.00001884
1724754060,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.07420000
1724754120,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.09254814
1724754180,344010.01000001,344010.01000001,344010.01000001,344010.01000001,0.00003612
1724754240,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.53159422
1724754300,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.16667046
1724754360,344010.01000001,344010.01000001,344010.01000000,344010.01000000,0.08676064
1724754420,344014.00000000,344014.00000000,344013.99999999,344013.99999999,0.02385759
1724754480,344013.99999999,344014.00000000,344013.99999999,344014.00000000,0.01388291
1724754540,344014.00000000,344014.00000000,344014.00000000,344014.00000000,0.00057154
1724754600,344013.99000000,344017.05000000,344013.99000000,344017.05000000,0.02448846
1724754720,344014.38377242,344014.38377242,344014.38377242,344014.38377242,0.00028751
1724754900,344128.08390800,344128.08390800,344128.08390800,344128.08390800,0.00029058
1724754960,344013.99000001,344013.99000001,344010.01000000,344010.01000000,0.00952819
1724755020,344010.01000000,344010.01000000,344010.01000000,344010.01000000,0.00400000
1724755080,344010.01000000,344010.01000000,343501.00000000,343501.00000000,0.08308121
1724755140,343501.00000000,343853.57000000,343501.00000000,343853.57000000,0.30761498
1724755200,344160.85000000,344160.85000000,344160.85000000,344160.85000000,0.00286364
1724755260,344283.98999999,344432.80704999,344283.98999999,344432.80704999,0.00461858
1724755320,344512.27382444,344512.27382444,344339.21446131,344339.21446131,0.00189287
1724755380,344125.14397617,344125.14397617,344125.14397617,344125.14397617,0.00000618
1724755500,343881.64306597,344057.14899553,343881.64306597,344057.14899553,0.00267489
1724755620,343767.16346790,343767.16346790,343501.00000000,343501.00000000,0.00434654
1724755680,343671.18163460,343671.18163460,343671.18163460,343671.18163460,0.00024509
1724755860,343538.90681815,343538.90681815,343538.90681815,343538.90681815,0.00014119
1724755920,343789.99999998,343789.99999998,343533.00577156,343533.00577156,0.00009465
1724756040,343501.00000001,343508.78899662,343501.00000001,343508.78899662,0.00087617
1724756280,343729.10507823,343729.10507823,343729.10507823,343729.10507823,0.00000430
1724756340,343723.19537896,343723.19537896,343662.46632871,343662.46632871,0.00003420
1724756400,343644.50778334,343946.00000000,343644.50778334,343718.20486182,0.31638636
1724756460,343728.46315906,343728.46315906,343711.77031720,343711.77031720,0.00076202
1724756520,343728.04152476,343728.04152476,343509.68875492,343509.68875492,0.00859405
1724756580,343501.00000000,343501.00000000,343500.00000000,343500.00000000,0.00730849
1724756700,343873.76171366,343923.29044890,343873.76171366,343923.29044890,0.00877514
1724756820,344288.99999999,344288.99999999,343864.81010001,343874.80015001,0.00073210
1724756880,344271.47379118,344271.47379118,344271.47379118,344271.47379118,0.00002000
1724756940,344055.52562227,344055.52562227,344055.52562227,344055.52562227,0.00114295
1724757000,343995.65932294,343995.65932294,343933.41410692,343933.41410692,0.00065910
1724757180,343900.00000000,343900.00000000,343646.58015003,343646.58015003,0.08750000
1724757240,343797.78060009,344203.93921031,343797.78060009,344203.93921031,0.00014552
1724757300,344392.32243984,344392.32243984,344392.32243984,344392.32243984,0.00056544
1724757360,344452.68337565,344495.56257549,343957.62225012,344495.56257549,0.01100535
1724757420,344567.40342581,344579.79880229,344106.98015001,344579.79880229,0.16368585
1724757540,344263.35327097,344263.35327097,344263.35327097,344263.35327097,0.00002433
1724757600,344264.05191710,344264.05191710,344262.37770476,344262.37770476,0.00327469
1724757660,344360.72896229,344360.72896229,344055.21135001,344360.50375040,0.02217318
1724757720,344148.45235001,344148.45235001,344148.45235001,344148.45235001,0.00065825
1724757840,344525.44677958,344525.44677958,344525.44677958,344525.44677958,0.00057416
1724757960,344520.98067767,344608.15291332,344520.98067767,344608.15291332,0.00060631
1724758020,344633.71833133,344634.22514982,344633.71833133,344634.22514982,0.00029241
1724758080,344564.52978504,344599.34285631,344504.52303246,344599.34285631,0.00594349
1724758140,344608.83124500,344608.83124500,344608.83124500,344608.83124500,0.00224321
1724758200,344494.16457559,344930.39000000,344218.71024999,344930.39000000,0.12568602
1724758260,344546.96498783,344546.96498783,344546.96498783,344546.96498783,0.00000563
1724758380,344304.60648045,344304.60648045,344304.60648045,344304.60648045,0.00005502
1724758440,344346.19590040,344346.19590040,344346.19590040,344346.19590040,0.00861710
1724758500,344344.80805427,344344.80805427,344293.59178957,344293.59178957,0.01375879
1724758560,344357.96318742,344368.94364803,344357.96318742,344368.94364803,0.00030440
1724758620,344406.70651974,344406.70651974,344406.70651974,344406.70651974,0.00351244
1724758680,344560.64349731,344560.64349731,344346.94873815,344346.94873815,0.00876574
1724758740,344585.45743301,344585.45743301,344585.45743301,344585.45743301,0.00000831
1724758800,344550.09549519,344550.09549519,344550.09549518,344550.09549518,0.00738572
1724758860,344408.97139031,344800.00000000,344408.97139030,344408.97139030,0.03773959
1724758920,344423.17950266,344825.67000000,344423.17950266,344825.67000000,0.00009873
1724758980,344458.14575278,344458.14575278,344440.36556265,344440.36556265,0.00001869
1724759100,344780.00000000,344780.00000000,344458.01788394,344458.01788394,0.04599029
1724759160,344440.36550001,344440.36550001,344440.36550001,344440.36550001,0.00000340
1724759220,344440.36550000,344440.36550000,344338.66370574,344338.66370574,0.00017201
1724759280,344278.68527857,344278.68527857,344278.68527857,344278.68527857,0.00086189
1724759340,344455.30816456,344467.80152989,344455.30816456,344467.80152989,0.00317174
1724759400,344331.10691396,344331.10691396,344331.10691396,344331.10691396,0.00028862
1724759460,344298.39062961,344688.79929971,344298.39062961,344688.79929971,0.00001717
1724759520,344304.06325905,344304.06325905,344304.06325905,344304.06325905,0.00028727
1724759580,344317.80688119,344317.80688119,344317.80688119,344317.80688119,0.00049140
1724759640,344405.25729076,344711.35989992,344405.25729076,344406.73528990,0.08231899
1724759700,344466.02474393,344724.67989995,344417.90867859,344417.90867859,0.00294596
1724759760,344632.67000000,344632.67000000,344270.00172345,344270.00172345,0.03282046
1724759880,344261.29837115,344261.29837115,344261.29837115,344261.29837115,0.00008143
1724760000,344261.29837115,344261.29837115,343938.87000000,343938.87000000,0.22323614
1724760060,343939.77094722,343943.10094722,343470.66470022,343470.66470022,0.36226939
1724760120,343408.83391337,343593.84032160,343086.00000000,343086.00000000,0.07141294
1724760180,343086.00000000,343569.89080045,343003.33000000,343003.33000000,0.11566103
1724760240,343003.33000000,343366.97941227,343000.00000000,343177.50214567,0.35678743
1724760300,343188.82495103,343188.82495103,342571.55009998,342584.87034994,0.18350536
1724760360,342561.55000000,343023.58733181,342500.00000000,342500.00000000,0.28518544
1724760420,342795.34109113,342902.43422000,342459.00000000,342502.01000000,0.45393340
1724760480,342590.76241143,342908.19351983,342403.33004999,342884.17999998,0.26943382
1724760540,342857.99999999,342857.99999999,342011.00000000,342744.99997999,0.30371401
1724760600,342011.01000000,342784.99998998,342011.01000000,342064.00000000,0.64008080
1724760660,342780.74441999,343023.56308996,342011.02000001,342011.03000001,0.03524595
1724760720,343169.15367846,343169.15367846,343112.35434032,343112.35434032,0.00060000
1724760780,343092.64000000,343093.45555544,342249.02000001,343022.23889598,0.05715113
1724760840,343022.23889597,343022.23889597,342811.36206838,342913.11808245,0.12427979
1724760900,342837.40384223,343013.32408400,342802.18547040,343013.32408400,0.03351407
1724760960,343144.44522252,343194.37184180,343142.79744686,343194.37184180,0.01029134
1724761020,343183.51822892,343245.29192754,343183.51822892,343245.29192754,0.00525289
1724761140,343384.74013270,343905.67000000,343384.74013270,343905.67000000,0.04116887
1724761200,343266.33000001,343491.67000000,342911.12191299,342954.63314003,0.09648650
1724761260,343424.93000000,343424.93000000,343004.99368916,343012.83293624,0.04375447
1724761320,343006.93501459,343322.91306254,343006.93501459,343322.91306254,0.00031409
1724761380,343400.25518871,343558.67000000,343400.25518871,343403.20000000,0.05618138
1724761440,343404.33464123,343405.04775659,342008.51000000,342971.62000000,1.77215093
1724761500,343255.69536584,343279.38522659,342971.63000000,343250.19038881,0.36621224
1724761560,343280.42938321,343280.42938321,343199.94152079,343199.94152079,0.00390000
1724761620,343162.33763136,343162.33763136,342573.69000000,342573.69000000,0.00623835
1724761680,343128.04065625,343129.99999999,342904.41552557,342904.41552557,0.12796775
1724761740,342894.58400527,342894.58400527,342797.15264911,342797.15264911,0.03498671
1724761800,342754.85073850,342773.11559164,342431.94000001,342773.11559164,0.05057689
1724761860,342907.65471792,342999.66578820,342873.34505737,342886.13609464,0.08070018
1724761920,342989.76670239,342989.76670239,342867.09403927,342870.89601864,0.09583275
1724761980,343153.22018354,343329.27664354,343153.22018354,343329.27664354,0.15146403
1724762040,343366.81259976,343384.49268121,343366.81259976,343384.49268121,0.00521098
1724762100,343369.57312601,343658.18000000,343202.69400458,343202.69400459,0.02562448
1724762160,343204.34206787,343321.01859650,343204.34206787,343321.01859650,0.03320442
1724762220,343488.52235199,344250.45000000,343488.52235199,344250.45000000,0.01581912
1724762280,343863.67000000,343863.67000000,343371.34756574,343453.39102093,0.04119787
1724762340,343507.57476664,343906.00000000,343507.57476664,343906.00000000,0.03616270
1724762400,343717.24019734,343865.14446981,343631.84889726,343631.84889726,0.00074684
1724762460,343565.75949994,343565.75949996,342649.57000000,343230.52938671,0.24166584
1724762520,343200.44000000,343200.44000000,343180.18294108,343180.18294108,0.00046557
1724762580,343033.18411300,343033.18411300,342852.63000000,342889.52727914,0.05485445
1724762640,342840.42244518,343238.66999999,342436.44004999,343219.45000000,0.06354638
1724762700,343165.07752029,343165.07752029,342712.68000000,342712.68000000,0.02851314
1724762760,343170.87101859,343462.66999996,342712.68000002,343389.52110710,0.06294704
1724762820,343213.22763974,343252.00000000,342764.55000002,342764.56000002,0.00999889
1724762880,343252.00000000,343579.58082912,342903.62999999,343126.86000000,0.34965556
1724762940,343126.86000000,343743.46000000,343126.83000000,343743.46000000,1.04351775
1724763000,343664.83852142,343664.83852142,342776.69000000,343237.00000000,0.44820178
1724763060,342780.03000008,343220.00000000,342646.90999999,342646.90999999,0.28116913
1724763120,343219.99999999,343220.00000000,342646.90999999,342975.94687316,0.12676725
1724763180,342854.81499203,342988.70794916,342646.90999999,342854.81499205,0.07549433
1724763240,343030.64607565,343420.67000000,342646.91005001,343420.67000000,0.11707833
1724763300,343387.82160200,343518.39776828,342753.33000002,342753.33000002,0.09112579
1724763360,343341.53524658,343375.72915410,343119.86000003,343375.72915410,0.06052761
1724763420,343374.08026780,343375.72915408,342753.33000002,343368.85329528,0.01235872
1724763480,343370.50215645,343370.50215647,342753.33000001,342753.33005003,0.18250140
1724763540,343072.64842982,343352.00000000,343072.64842982,343352.00000000,0.06768324
1724763600,343096.88647622,343147.61915459,343036.47996104,343036.47996104,0.09149598
1724763660,343258.13771039,343444.66999999,342987.16834324,342987.16834324,0.05885338
1724763720,342988.81537159,343250.00000000,342988.81537159,343029.03178432,0.10872633
1724763780,343345.66999999,343345.66999999,342898.46834216,342900.11494456,0.12016519
1724763840,342971.60345286,343047.67000000,342341.00002000,342879.51873495,0.11935598
1724763900,343042.60999993,343051.00000000,342871.87590260,342871.87590260,0.06944883
1724763960,343133.17436696,343133.17436696,342307.41000000,342660.60331155,0.19548802
1724764020,342627.13860192,342628.78390136,342576.33308703,342584.53386962,0.17935852
1724764080,342763.01972463,342763.01972463,342200.00000003,342200.00000003,0.07230070
1724764140,342583.76372385,342632.59096927,342524.40296833,342629.23627090,0.30938383
1724764200,342629.23627090,342949.67000000,342296.00004999,342596.33885843,0.10358415
1724764260,343054.66999999,343161.19368640,342426.99002000,343091.29315679,0.23056314
1724764320,343157.28706327,343398.00000000,342419.00000000,343398.00000000,0.62696900
1724764380,343060.48533904,343147.67000000,342755.00000000,343110.02511172,0.35503807
1724764440,343101.55286057,343101.55286057,342483.64000000,342581.01000001,0.48109245
1724764500,342993.98391123,343611.67000000,342993.98391123,343611.67000000,0.36523625
1724764560,343349.60959504,343349.60959504,343144.75499422,343246.60305318,0.03675665
1724764620,343365.76274788,343729.00000000,343248.49938004,343321.00319370,0.20761559
1724764680,343321.00319370,343321.00319370,342703.00000000,343130.40346854,0.13710147
1724764740,343013.46706869,343331.00000000,342474.00000001,342474.00000001,0.15399422
1724764800,342769.63501014,342769.63501014,342230.00004999,342443.00000000,0.11957514
1724764860,342916.66999997,343290.84044751,342648.00000000,342648.00000000,0.07677820
1724764920,343297.50972501,343933.00000000,343209.33000003,343209.33000003,0.29423516
1724764980,343751.90158189,343850.00566618,343745.00000000,343745.00000000,0.06104728
1724765040,343749.99999999,343763.00000000,343342.80000000,343342.80000000,0.15308771
1724765100,343753.46702597,343933.00000000,343342.80005000,343850.90157444,0.06580944
1724765160,343821.17630609,343929.67000000,343342.80005000,343342.80005000,0.19952863
1724765220,343844.48307011,343853.51690807,343483.62000001,343800.37431341,0.16553548
1724765280,343798.69765937,343912.96752658,343798.69765937,343912.96752658,0.08812001
1724765340,343993.22599605,344019.11000000,343993.22599605,344019.10999999,0.03066205
1724765400,344031.78531562,344351.31000000,343842.79097017,343842.79097017,0.09329384
1724765460,343841.74295001,344114.35734427,343098.33013003,343098.33013003,0.08993647
1724765520,343783.84889074,343783.84889074,343098.33013003,343538.22225106,0.07727924
1724765580,343533.10032277,343842.72804309,343188.00000000,343842.72804309,0.28119831
1724765640,343981.99999996,343998.09430741,343185.11553677,343185.11553677,0.06781671
1724765700,343081.66003000,343081.66003000,342304.11000001,342785.68729570,0.55088329
1724765760,342825.22715429,342931.47566787,342503.00000000,342929.82891487,0.14723185
1724765820,342920.38815815,342920.38815815,342213.00000000,342782.85351530,0.26543817
1724765880,342628.06857817,342628.06857817,342359.68329364,342359.68329364,0.08576353
1724765940,342440.10999371,342440.10999371,342008.52000000,342067.53031000,0.34559860
1724766000,342067.53030777,342567.67000000,341999.99000000,342403.18196669,0.08846029
1724766060,342358.04080594,343028.67000000,341686.00000000,343028.67000000,0.45783491
1724766120,342971.65849742,343227.67000000,341975.33001003,342335.00000003,0.28276837
1724766180,342402.99999999,342608.77153996,342000.33000001,342239.56587818,0.15308143
1724766240,342297.88558720,342496.58998066,341655.17002000,342349.65499384,0.23741190
1724766300,342377.20479504,342550.00000000,342082.41366554,342087.41408339,0.21941013
1724766360,342025.00000000,342979.67000000,342025.00000000,342278.97778158,0.14054092
1724766420,342168.00795299,342200.00000000,342128.94637004,342128.94637004,0.06493037
1724766480,342200.00000000,344010.50000000,341917.02001000,343263.06676936,0.34756177
1724766540,343152.15431600,344220.15975000,342433.10000000,343265.99126408,0.26782829
1724766600,343252.00000000,343707.67000000,343216.46134661,343438.93276687,0.10321179
1724766660,343324.94233384,343324.94233384,342708.67000000,343210.95190084,0.24473930
1724766720,343199.93300928,343497.38798650,342722.03000000,343497.38798650,0.16655983
1724766780,343499.03746491,343791.03949300,343327.00000001,343327.00000001,0.03242005
1724766840,343327.01000004,343675.34057620,342970.34000003,342970.34000007,0.26483234
1724766900,343373.53168754,343531.57409751,342970.33000001,343531.57409751,0.06269658
1724766960,342970.33005001,343520.03180861,342666.33000001,343199.93300928,0.09393468
1724767020,342666.33000002,343166.87633465,342365.33005002,342899.94368701,0.03075734
1724767080,342365.33005003,342958.66842877,342365.33005003,342958.66842876,0.00273633
1724767140,342958.66842876,342958.66842876,342365.33005003,342893.05061453,0.00005829
1724767200,342867.38286250,342869.02931999,341910.34000001,342689.75833080,0.03650117
1724767260,342691.40393098,342691.40393098,342639.61489203,342639.61489203,0.02751556
1724767320,342637.96954056,343218.33998000,342003.33000000,342482.15000001,0.10356611
1724767380,342482.15000002,342935.54385995,342205.02000000,342545.95702034,0.04202427
1724767440,342531.83548440,343094.99999000,342006.66000000,342559.54115779,0.19703714
1724767500,342577.14472780,342785.00000000,342000.00000000,342387.16524776,0.10704104
1724767560,342388.80939487,342405.33182354,342000.00000000,342058.30574669,0.18411344
1724767620,341910.33005002,342278.00000000,341203.33000001,341428.81391214,0.44062720
1724767680,341917.14913110,342356.66999998,341203.33001000,341203.33001000,0.26871554
1724767740,341203.33001000,341596.66999999,341085.52472991,341596.66999999,0.34741642
1724767800,341365.05622264,341706.67000000,340863.33000000,341613.39258371,0.09373025
1724767860,341750.94790530,341750.94790530,340608.34000001,341462.24849622,0.13369069
1724767920,341369.75234409,341429.67000000,340602.01000001,340602.01000001,0.15341585
1724767980,341052.99999999,341069.14101602,340555.55000000,340555.55000000,0.47725017
1724768040,340555.55000000,341001.67000000,340121.45000000,340967.82545444,0.39324118
1724768100,340967.88052924,341523.40000000,340178.95005001,341147.35932157,0.04375294
1724768160,340175.62005000,340956.86557678,340124.78000000,340955.72397632,0.22050373
1724768220,340690.87071658,341003.62404991,340124.78000000,341003.62404991,0.10337369
1724768280,341003.62404992,341501.97000000,340342.33000000,340462.99000003,0.11060815
1724768340,341271.02547603,341271.02547604,340511.33000004,340950.58705388,0.09701495
1724768400,340878.61967945,340950.58705388,340121.45000000,340891.97058202,0.11548199
1724768460,340972.94476430,341062.70372047,340141.44000007,341027.97415756,0.19773858
1724768520,340165.64000009,341046.13720050,340121.45000000,340121.45000000,0.31138738
1724768580,340641.26434489,340693.00000000,340032.22000000,340059.33000001,0.38030720
1724768640,340943.08310876,341566.64984000,340731.00000003,340813.20000003,0.23319617
1724768700,340813.20000005,341617.76272359,340211.70000000,341518.62815156,0.57409469
1724768760,341518.62815155,341544.47035744,340360.01000000,341510.31186245,0.07489266
