t,o,h,l,c,v
1724508660,353843.00000002,353986.67000000,353843.00000001,353843.00000002,0.00154686
1724508720,353843.00000002,353843.00000002,353843.00000001,353843.00000001,0.00067344
1724508780,353843.00000001,353843.00000001,353843.00000001,353843.00000001,0.00039684
1724508840,353843.00000001,353843.00000001,353843.00000001,353843.00000001,0.00000551
1724508900,353843.00000002,353939.23999999,353843.00000001,353939.23999999,0.00136762
1724508960,353843.00000003,353843.00000003,353843.00000003,353843.00000003,0.00013708
1724509020,353843.00000003,353843.00000003,353843.00000003,353843.00000003,0.00028050
1724509080,353843.00999999,353843.00999999,353843.00000000,353843.00000000,0.06045153
1724509140,353843.00000001,353843.00000001,353843.00000001,353843.00000001,0.00000539
1724509200,353999.99999998,354000.00000000,353999.99999998,354000.00000000,0.00011341
1724509260,353999.99999999,353999.99999999,353992.12524944,353992.12524944,0.00018028
1724509320,353931.52379597,353935.83511156,353843.00000000,353843.00000000,0.02082327
1724509380,353843.00000000,353843.00000000,353843.00000000,353843.00000000,0.00028045
1724509440,353906.06888636,353945.67999995,353843.01999999,353843.01999999,0.00309330
1724509500,353857.18000000,353939.02000000,353857.18000000,353939.02000000,0.00002302
1724509560,353939.02000000,353999.99999999,353939.02000000,353999.99999999,0.00010421
1724509620,354000.00000000,354000.00000000,353999.99999999,353999.99999999,0.00047263
1724509680,354000.00000000,354000.00000000,354000.00000000,354000.00000000,0.04807029
1724509740,354000.00000000,354185.00000000,354000.00000000,354167.14238980,0.06582399
1724509800,354091.00000001,354152.14238983,353846.33000001,353846.33000001,0.04154988
1724509860,354005.05972928,354005.05972928,354005.05972928,354005.05972928,0.00044276
1724509920,353875.19411512,354000.05972930,353875.19411512,354000.05972930,0.05430763
1724509980,354120.49238979,354138.81238986,354120.49238979,354138.81238986,0.00051273
1724510040,354066.68107782,354120.97895109,354066.68107782,354120.97895109,0.00011019
1724510100,354181.67000000,354181.67000000,354086.45137568,354086.45137568,0.00140387
1724510160,354090.17649465,354090.17649465,354055.00000001,354055.00000001,0.00190536
1724510220,354007.13805542,354040.00000001,354007.13805542,354040.00000001,0.00310163
1724510280,354045.00000000,354045.00000000,354045.00000000,354045.00000000,0.00063807
1724510340,354073.80742773,354075.20665572,354073.80742773,354075.20665572,0.00090384
1724510400,354167.41400937,354167.41400937,354167.41400937,354167.41400937,0.00070588
1724510460,354089.97788846,354141.83641321,354089.97788846,354141.83641321,0.01443367
1724510520,354140.13582824,354140.13582825,354070.00000001,354070.00000001,0.00029231
1724510580,354069.99999998,354069.99999998,354069.99999998,354069.99999998,0.00013979
1724510640,354065.00000003,354065.00000003,354000.00000000,354003.33000000,0.02015215
1724510700,354003.33000000,354034.49281824,353487.00000000,353487.00000000,0.23448363
1724510760,354005.00000000,354014.54015551,353988.68815245,353988.68815245,0.05766083
1724510820,354030.00000001,354030.00000001,353980.94935526,353980.94935526,0.00140497
1724510880,353979.00527580,353980.94935524,353979.00527580,353980.73702483,0.00062589
1724510940,353984.06702483,354103.19325547,353980.73702483,354103.19325547,0.01167850
1724511000,354096.14243973,354096.14243973,353547.33000000,354066.34286544,0.00137843
1724511060,354066.34286545,354066.34286545,354066.34286545,354066.34286545,0.00005521
1724511120,354051.34286548,354051.34286548,354046.34286549,354046.34286549,0.00139692
1724511180,354041.34286550,354041.34286550,353985.98872005,353986.15308073,0.00087820
1724511240,353986.15308073,354084.44192742,353986.15308073,354079.41161802,0.00326480
1724511300,354075.57095183,354075.57095183,354060.68211337,354060.68211337,0.01463368
1724511360,353954.32916388,353954.32916388,353954.32916388,353954.32916388,0.00000418
1724511420,353959.42566062,353959.42566062,353954.42566063,353954.42566063,0.02050037
1724511480,353947.72595161,353947.72595161,353933.61834166,353933.61834166,0.00077285
1724511540,354028.48921335,354028.48921335,354028.48921335,354028.48921335,0.00001202
1724511660,354034.00000000,354034.00000000,353939.99000006,354034.00000000,0.05307161
1724511720,354034.00000000,354034.00000000,354025.00000002,354025.00000002,0.00467731
1724511780,354029.00000001,354029.00000001,354029.00000001,354029.00000001,0.00013398
1724511840,354025.00000001,354109.44441018,353923.59629203,354109.44441018,0.03050666
1724511900,354099.44441021,354099.44441021,354095.27555824,354095.27555824,0.01178775
1724511960,354095.22478579,354144.03268565,354095.22478579,354095.27555825,0.04207467
1724512020,354181.67000000,354181.67000000,354015.00000001,354015.00000001,0.02034254
1724512080,353990.65845000,353990.65845000,353883.33000001,353933.33000000,0.03700443
1724512140,353858.33000004,353863.59590638,353858.33000004,353863.59590638,0.01129420
1724512200,353872.29906025,353953.90837621,353298.67000000,353953.90837621,0.00964284
